City,Date,Wastewater Treatment Emissions ,Water Use Emissions ,Water Use,Location 1
Millbrae,12/31/2010 12:00:00 AM,530,311,808790708,"Millbrae, CA
(37.603633, -122.397199)"
East Palo Alto,12/31/2011 12:00:00 AM,655,192,735894831,"East Palo Alto, CA
(37.464162, -122.139284)"
Burlingame,12/31/2012 12:00:00 AM,838,427,1450735076,"Burlingame, CA
(37.584195, -122.366265)"
Redwood City,12/31/2012 12:00:00 AM,1811,1205,4095001918,"Redwood City, CA
(37.484778, -122.22815)"
San Bruno,12/31/2005 12:00:00 AM,,,,"San Bruno, CA
(37.627277, -122.416148)"
Half Moon Bay,12/31/2005 12:00:00 AM,,,,"Half Moon Bay, CA
(37.463638, -122.429242)"
Foster City,12/31/2010 12:00:00 AM,170,568,1477738690,"Foster City, CA
(37.561881, -122.266445)"
Belmont,12/31/2010 12:00:00 AM,407,397,1033974829,"Belmont, CA
(37.508536, -122.291951)"
San Carlos,12/31/2010 12:00:00 AM,697,454,1181899754,"San Carlos, CA
(37.503733, -122.264927)"
Redwood City,12/31/2013 12:00:00 AM,1846,1188,4178888245,"Redwood City, CA
(37.484778, -122.22815)"
East Palo Alto,12/31/2005 12:00:00 AM,,,,"East Palo Alto, CA
(37.464162, -122.139284)"
Half Moon Bay,12/31/2011 12:00:00 AM,267,107,412269372,"Half Moon Bay, CA
(37.463638, -122.429242)"
Millbrae,12/31/2011 12:00:00 AM,755,203,778311952,"Millbrae, CA
(37.603633, -122.397199)"
Millbrae,12/31/2005 12:00:00 AM,,,,"Millbrae, CA
(37.603633, -122.397199)"
Colma,12/31/2013 12:00:00 AM,32,24,84300476,"Colma, CA
(37.68073, -122.452872)"
Foster City,12/31/2012 12:00:00 AM,310,378,1283631988,"Foster City, CA
(37.561881, -122.266445)"
Daly City,12/31/2013 12:00:00 AM,2473,939,3301628595,"Daly City, CA
(37.691113, -122.472221)"
Menlo Park,12/31/2010 12:00:00 AM,786,961,2503472809,"Menlo Park, CA
(37.453629, -122.18296)"
Hillsborough,12/31/2012 12:00:00 AM,256,360,1225427935,"Hillsborough, CA
(37.565155, -122.363487)"
Brisbane,12/31/2010 12:00:00 AM,72,82,213929363,"Brisbane, CA
(37.682669, -122.400522)"
Menlo Park,12/31/2011 12:00:00 AM,745,676,2593945360,"Menlo Park, CA
(37.453629, -122.18296)"
San Bruno,12/31/2013 12:00:00 AM,444,375,1318529144,"San Bruno, CA
(37.627277, -122.416148)"
