GHG Emission Inventory Summary [2000 - 2018]
Main Sector: Residential
Sub Sector Level 1: Household Use
Inventory Accounting: Included
Measurement: CO2Eq
GWP: AR4
Unit: million tonnes

 
"Inventory Accountin","Main Sector","Sub Sector Level 1","Sub Sector Level 2","Sub Sector Level 3","Main Activity","Activity Subset","GHG","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","Coal","CH4","0.0000170500","No Data","No Data","0.0000002750","0.0000052250","0.0000099000","0.0000008250","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","Coal","CO2","0.0057908000","No Data","No Data","0.0000934000","0.0017746000","0.0033624000","0.0002802000","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","Coal","N2O","0.0000295616","No Data","No Data","0.0000004768","0.0000090592","0.0000171648","0.0000014304","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","Distillate","CH4","0.0000673475","0.0000845500","0.0000540175","0.0000557550","0.0000566150","0.0000707525","0.0000708050","0.0000398775","0.0000573400","0.0001418375","0.0000604650","0.0000454875","0.0000257825","0.0000382750","0.0000388550","0.0000331825","0.0000312375","0.0000226550","0.0000276750"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","Distillate","CO2","0.0664135654","0.0833767351","0.0532676191","0.0549823078","0.0558294456","0.0697714973","0.0698225297","0.0393255674","0.0565438992","0.1398696019","0.0596262562","0.0448574796","0.0254243417","0.0377435630","0.0383151259","0.0327219749","0.0308031566","0.0223419847","0.0272921275"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","Distillate","N2O","0.0001605624","0.0002015672","0.0001287658","0.0001329080","0.0001349642","0.0001686680","0.0001687872","0.0000950620","0.0001366926","0.0003381406","0.0001441426","0.0001084422","0.0000614774","0.0000912476","0.0000926184","0.0000791190","0.0000744702","0.0000539976","0.0000659772"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","Kerosene","CH4","0.0001193525","0.0001488475","0.0000920050","0.0000831975","0.0001175000","0.0001290725","0.0001218650","0.0000647900","0.0000343850","0.0000729400","0.0000611850","0.0000468675","0.0000201500","0.0000192775","0.0000250300","0.0000185800","0.0000354875","0.0000215150","0.0000215150"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","Kerosene","CO2","0.1196717760","0.1492445520","0.0922512240","0.0834189840","0.1178139600","0.1294176960","0.1221894720","0.0649626480","0.0344761920","0.0731350080","0.0613485360","0.0469936080","0.0202024800","0.0193294080","0.0250957440","0.0186289200","0.0355827600","0.0215730000","0.0215730000"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","Kerosene","N2O","0.0002845304","0.0003548584","0.0002193280","0.0001983488","0.0002801200","0.0003077148","0.0002905202","0.0001544534","0.0000819798","0.0001738830","0.0001458710","0.0001117202","0.0000480376","0.0000459516","0.0000596596","0.0000442828","0.0000846022","0.0000512858","0.0000512858"
"Included","Residential","Household Use","Not Specified","None","Fuel combustion","LPG","CH4","0.0013416750","0.0009209250","0.0010717500","0.0015366750","0.0018658500","0.0021216000","0.0018522000","0.0019642500","0.0024117000","0.0022639500","0.0023793750","0.0022550250","0.0017046000","0.0017115750","0.0014103000","0.0015843750","0.0017254500","0.0016572000","0.0018058500"
