,ZipCode,Population,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),HouseholdsPerZipCode,Total Zip Code Carbon Footprint (tCO2e/yr)
28629,90001,54481,4.35,138900,24207,33.974243,-118.245169,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,15688.048535305094,6136.401625893512,31132.645692919687,0.0,15862,10.218853076515934,6.622799821162582,13.049999999999999,4.679496450215428,4.317046672152865,38.8881960200468,13302,517290.7834586625
28630,90002,44584,4.16,127700,22872,33.94938,-118.24506,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,14677.391372193219,6566.231955352101,34027.6756036848,0.47533464598626085,15536,10.018989337218402,7.14332312128345,12.48,4.518859500037262,4.190604530493374,38.35177648903249,11838,454008.3300771666
28631,90003,58187,4.0,134400,22346,33.963792,-118.274249,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,16440.618870474922,6298.857437272307,32761.846391690953,0.0,14614,9.456838890801118,6.890063851428313,12.0,4.449398848961474,4.139889378814583,36.936190970005484,16071,593601.5250789581
28632,90004,67850,2.91,371100,27591,34.07668,-118.308976,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,22196.42181249078,4645.592721292267,26151.364885623443,0.5787733636024689,13373,9.20451795669457,5.391667632121386,8.73,4.381741362309488,4.535160107040713,32.243087058166154,23922,771319.1286054507
28633,90005,43014,2.8,392200,21998,34.058999,-118.312752,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,37517.6951746142,4076.0307625682776,24410.93035275077,0.43437094795393594,11004,7.55119729474063,4.900291904114908,8.399999999999999,3.980316894701077,4.0448752960051415,28.876681389561753,15905,459283.6175009797
28634,90006,62765,3.31,169000,20593,34.047977,-118.29082,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,32164.64773907099,4469.242325874219,26011.63945958751,0.25035197822628874,11363,7.575730137166626,5.246520634825613,9.93,4.079682706241188,3.950793261203199,30.782726739436622,19792,609251.7276269296
28635,90007,45021,3.07,172700,17644,34.028321,-118.28126,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,16237.663328798526,4639.729040627841,26924.32426662096,0.0,11420,7.561491947646157,5.534881238936309,9.209999999999999,3.7941366116760453,3.681549999208186,29.782059797466697,13548,403487.3461360788
28636,90008,30840,2.28,236000,30472,34.010666,-118.342797,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,8287.655826875061,5986.197164313757,36943.73548177419,0.38128916147874514,14560,10.209435675505995,7.293513061420002,6.84,4.351973862460935,4.753350667281144,33.448273266668075,14337,479547.89382422017
28637,90010,1943,2.02,692700,32083,34.061603,-118.312405,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,4610.711658479865,4177.921135421158,26064.071549478977,0.0,14292,10.191866540960334,5.278085936099524,6.0600000000000005,4.344445670472618,4.876682965615437,30.75108111314791,996,30628.07678869532
28638,90011,101214,4.65,140000,23851,34.008137,-118.258251,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,23245.884703957985,5962.408344064734,30395.286827358323,0.0,13670,8.771969560260265,6.408241282210353,13.950000000000001,4.771049468169908,4.302849450342187,38.20410976098271,23721,906239.6876402709
28639,90012,30577,2.32,159500,20152,34.060732,-118.239742,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,8776.227579747943,3887.3491425276943,24102.040513860848,4.938695641020612,9739,6.82183754555672,5.071264306460398,6.959999999999999,3.6939938173874243,3.8607095273272014,26.407805196731744,8360,220769.2514446774
