CountyName,num_vehicles,miles_traveled_year,num_short_flights,num_med_flights,num_long_flights,electricity_billPerYear,housing_squarefeet,moneySpentOnClothesPerYear,result_grand_total,Population,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,popden,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,HouseholdsPerZipCode
ALAMEDA,242.0,1613500.0,483.0,126.0,89.0,97190.0,211948.5,40510.762335999985,5277.395845000001,1333498,111.87000000000003,13884600,2590891,258994.04689553316,275913.45534846606,1768720.2376632725,22.368749931115442,983886,505952
ALPINE,15.0,86300.0,27.0,8.0,3.0,5440.0,14048.0,2366.563071,295.87779600000005,1071,6.220000000000001,1177601,84191,5.789274826084393,11596.212855918733,52190.62655398696,28.795106077384293,34414,1002
AMADOR,87.0,700100.0,162.0,39.0,27.0,37630.0,71966.0,14149.849254999997,2018.8489799999998,35248,24.21,1578400,442394,2747.175495780954,68394.86762893898,295569.62131584896,14.518174257398808,284242,15061
BUTTE,123.0,998900.0,213.0,52.0,10.0,54640.0,107009.0,16113.001961000002,2604.0685759999997,202888,44.84999999999999,2079400,655472,10312.749189649496,120787.35249130237,689960.1372850818,36.92519803706369,472138,85714
CALAVERAS,175.0,1113000.0,305.0,52.0,40.0,71800.0,136184.0,23597.085432000003,3541.542685,40500,45.150000000000006,2824300,632518,4685.232602341474,128358.48548527154,523535.20370115066,140.9207720797702,445448,22884
COLUSA,45.0,335700.0,78.0,16.0,5.0,20860.0,37059.0,6551.250822,955.229246,19813,20.580000000000002,734500,240884,190.71905474554916,50287.204293399955,271711.6122989961,53.9499755179427,181030,7153
CONTRA COSTA,179.0,1521200.0,411.0,96.0,58.0,87800.0,152823.0,34817.472091,4433.638274,822251,80.7,9562600,2179269,66918.97128549205,232866.71106525158,1357978.9296965322,66.69014079781111,861330,302080
DEL NORTE,25.0,203400.0,53.0,10.0,1.0,8960.0,24791.0,3334.7178860000004,506.85778300000004,27507,10.090000000000002,515200,112485,99.71161605144918,20359.9828969426,114445.01429730261,264.69325367643046,90918,10434
EL DORADO,141.0,1187100.0,243.0,79.0,51.0,60250.0,123262.5,22547.535193000003,3283.749183,148300,47.76,3571800,950612,2884.4278224684144,126053.86470709668,597167.6411774083,152.61189819297584,544409,68102
FRESNO,372.0,2134700.0,578.0,117.0,47.0,161200.0,298629.0,56407.165884999995,7148.5958709999995,803483,169.33999999999997,5527100,1759201,81691.5827562044,368699.99437863653,1933991.1941403192,141.89591839711454,1144472,272225
GLENN,42.0,351700.0,65.0,15.0,3.0,19190.0,38280.5,5697.235181,870.116711,26951,20.47,661400,215757,380.22953137766723,47585.6602477344,250259.4705396782,31.46576524400048,179673,10155
HUMBOLDT,268.0,1991300.0,438.0,104.0,27.0,99150.0,230265.5,35077.839546999996,5385.732398000003,126638,86.25000000000001,4684000,1144506,6951.9526482707715,196972.16767416868,1168366.0982910488,577.474929363354,875249,56084
IMPERIAL,95.0,632700.0,124.0,30.0,14.0,51360.0,82144.5,14755.83815,1920.2503379999996,140787,43.05,1146900,411557,3353.8985104959393,115996.1547741446,476330.21319368825,6.758664025974981,309671,42756
INYO,74.0,488300.0,125.0,27.0,15.0,28900.0,64748.5,8461.901145,1406.4021619999999,18770,20.69,1389000,320567,85.57988260071899,61122.52107929027,280187.43963553896,103.38595857817226,223027,9422
KERN,309.0,2241600.0,491.0,113.0,42.0,157950.0,271758.0,48345.918937999995,6480.139702,658764,133.39000000000001,4099700,1601190,28559.17971607716,362982.7022950391,1673399.4866021706,44.621116635593154,1086044,232488
KINGS,62.0,355100.0,76.0,18.0,4.0,29590.0,47896.0,9888.017283,1212.287441,128170,25.930000000000003,588200,221741,4224.956965792209,56384.78349237575,292560.4786920831,0.10118798599026872,163040,36138
LAKE,105.0,653400.0,156.0,47.0,30.0,33020.0,92691.5,13966.226795,2069.01643,58228,30.35,1506200,423270,3870.9783492577562,65939.97703261008,345867.98587295617,1184.3371088057838,286394,32298
LASSEN,135.0,844200.0,220.0,51.0,26.0,45300.0,111650.0,18466.317756999997,2697.8426099999997,31131,35.09,1208000,414093,222.47928056269623,77355.92658854055,356036.9799864939,1490.3464770171004,336639,13802
LOS ANGELES,1916.0,11564700.0,3284.0,857.0,370.0,832800.0,1642398.0,318079.9780740002,38683.829120999995,9425127,778.7300000000004,74110702,12813905,2286653.0093597984,1843140.5205385513,9327625.741946418,76.46145334492192,5633572,3239396
MADERA,70.0,549800.0,154.0,16.0,16.0,32670.0,60116.0,11164.872202999999,1581.5022569999999,122343,30.14,1642100,493206,530.5359400927798,79788.65706122082,326445.33951525396,26.406968660170563,305387,40074
MARIN,215.0,1843100.0,406.0,122.0,88.0,84080.0,174513.0,41918.84178999999,5423.246497000001,246559,63.01,14632601,1795220,37955.11430824902,163791.1052831052,1296465.2230149484,64.4530039079419,727740,104695
MARIPOSA,35.0,187600.0,55.0,11.0,3.0,11630.0,28909.0,4024.4547420000004,605.207319,14125,15.889999999999999,1171600,232172,73.58523745784683,39500.9702647162,186722.5468093813,50.25515162263295,161402,7117
MENDOCINO,214.0,1491900.0,428.0,82.0,37.0,74590.0,180962.0,30023.910756999994,4369.344451,86157,65.85,4912500,973330,2139.584991249931,148960.84279399485,775319.1383635823,1141.5065159777262,669320,37076
MERCED,107.0,765400.0,160.0,32.0,11.0,46420.0,89929.5,17262.991116,2215.736284,210097,56.8,1796400,573551,9605.952089593971,120011.86168619356,628816.8933645647,22.511673819515085,426438,68218
MODOC,60.0,480600.0,143.0,24.0,10.0,23390.0,60375.5,9301.904582000001,1337.0478140000002,8110,22.910000000000004,770300,298003,26.7656725155522,55037.926591089075,257007.13716425066,1204.7617269476461,223962,4231
MONO,47.0,334600.0,79.0,19.0,13.0,19250.0,41954.5,7021.331309000001,962.441311,11879,16.91,1206000,305518,74.62140045770317,42504.92420801305,192760.55138494453,69.74755358507929,158503,11236
MONTEREY,242.0,1958100.0,459.0,110.0,53.0,98710.0,205065.0,45183.979354999996,5593.572906,388409,87.65,8671200,1401170,35820.1312988532,184762.5939292362,1071626.5994815358,49.971976106028784,755464,129027
NAPA,51.0,369000.0,96.0,20.0,17.0,21610.0,39681.0,8951.984716,1168.475101,111727,15.65,1706500,326514,1266.9657025931708,42001.4998000769,228306.22666289547,7.194859276077788,159046,44183
NEVADA,73.0,514800.0,168.0,26.0,23.0,30190.0,60372.5,10538.47775,1575.311482,87991,24.1,1928900,460847,1118.2615050388229,63497.22229588304,314414.77263244457,87.10877862124478,257216,44534
ORANGE,583.0,4475400.0,1242.0,307.0,193.0,295180.0,503100.5,112528.21662499999,13625.641153,2814424,242.64,27430201,5383888,495463.5465767091,655619.3577356515,2862419.7081775405,12.917598616229228,2137137,959576
PLACER,227.0,1755600.0,458.0,133.0,64.0,98290.0,191634.5,38008.953857,5208.179458,252026,72.18,6569500,1552304,22679.38707735402,200977.69575843232,1136022.2472533658,225.0793436311336,772467,106507
PLUMAS,56.0,482500.0,101.0,21.0,11.0,22030.0,52065.5,7375.962731,1215.721015,18758,27.07,1367500,379738,985.0796540999062,66876.74888783714,319283.4153473057,1129.7380444779305,286118,10690
RIVERSIDE,444.0,3444900.0,859.0,181.0,93.0,246650.0,396394.0,78147.93645999998,9985.824137000001,1545781,205.59000000000003,10468800,3059253,73528.3131235219,594684.0244192542,2759922.2050579432,24.630123654558393,1693847,585028
SACRAMENTO,423.0,2683700.0,729.0,231.0,105.0,186410.0,350765.0,67111.81869,8911.429165999998,1225310,134.09,7644800,2285300,151245.21348444524,358132.35017361556,1943790.9665488433,51.33397582661762,1193819,475394
SAN BENITO,31.0,240900.0,48.0,13.0,13.0,13670.0,26038.0,5265.000459,714.1480280000001,51712,8.899999999999999,1001400,146084,152.69611743241796,21496.816956381266,125356.65714746065,25.06911309933098,93251,15953
SAN BERNARDINO,535.0,3217000.0,951.0,203.0,90.0,262440.0,444680.0,79240.154545,10785.101519,1651641,230.03,9342800,3183288,111438.86930666878,648460.4690920506,3386939.7446235893,41.75193417002618,1787828,578240
SAN DIEGO,802.0,5965300.0,1643.0,433.0,216.0,360490.0,692328.5,141828.74218800003,17993.103367,2753127,253.0999999999999,23348401,4768789,290951.56564272183,645369.2642260344,2982997.229927116,210.2386774011514,2294657,1013841
SAN FRANCISCO,201.0,731400.0,406.0,129.0,37.0,58010.0,176652.5,26567.77717,3379.5288379999997,776733,59.07,14465803,1504817,509973.1974601824,129002.58252642167,915452.8088917285,49.49750872930113,368027,346527
SAN JOAQUIN,191.0,1521700.0,374.0,66.0,41.0,93510.0,165136.5,30826.071891000003,4318.741019,562825,82.90999999999998,4108900,1171354,41658.65087401572,209853.10101310912,1134906.6653063823,31.69757837580389,753098,188869
SAN LUIS OBISPO,186.0,1585000.0,418.0,81.0,49.0,84670.0,168408.0,31983.535286000006,4335.004140999999,245489,49.97,4461200,857624,10489.245994306411,131073.4177690143,716791.3130431972,16.886785751518364,517254,101633
SAN MATEO,158.0,1615100.0,376.0,91.0,59.0,75990.0,141380.5,39996.808141,4363.0594200000005,634033,69.24,14385002,2135628,101903.88939849842,174728.36373589656,1009638.8532372381,64.00445540114032,734204,236272
SANTA BARBARA,190.0,1373200.0,407.0,89.0,41.0,82330.0,158066.0,30949.657459,4125.288714,399242,64.34,7881301,1144562,27054.64168132473,158254.38071286256,830999.8917893847,4.072129016729262,589118,142880
SANTA CLARA,314.0,2876900.0,739.0,201.0,101.0,146030.0,276367.5,68855.96124700001,8125.217767999999,1655773,156.98,27604706,4133473,260340.6675508294,359600.18226791226,2327738.3068364696,39.24405547852963,1498359,567170
SANTA CRUZ,128.0,1132000.0,297.0,67.0,33.0,53920.0,114734.0,23128.007429,3059.123096,274533,45.26,6192500,1037824,28835.251825927066,104945.51884523485,753056.3210760552,62.508301422105184,466965,104216
SHASTA,198.0,1622400.0,345.0,86.0,20.0,79140.0,167780.5,27168.30194,4284.797910999999,169329,65.97999999999998,3252000,926097,3053.393079596476,174455.32752994503,823039.0988001331,1496.7683196063495,731173,71183
SIERRA,46.0,319600.0,73.0,24.0,8.0,17630.0,39465.0,6466.585935999999,922.2388039999998,3223,15.760000000000002,891600,276943,57.27681013248538,40840.24488699525,182246.3208026981,313.13761688311547,166981,1929
SISKIYOU,156.0,1190500.0,281.0,57.0,13.0,57930.0,140836.0,20327.99771,3298.929661,45540,52.08,2023600,595096,366.1216639597452,124939.65170249481,554229.2829031752,3995.93825398214,522553,22452
SOLANO,88.0,688900.0,173.0,49.0,18.0,41760.0,71885.0,15593.629932000003,2041.8614230000003,403407,39.76,2495700,703356,16862.90335949549,104739.87505575354,571455.0164922498,4.788487883566889,385063,137539
SONOMA,278.0,2146800.0,574.0,128.0,81.0,114370.0,231920.5,46729.583916,6300.5693139999985,458408,89.15999999999998,11074301,1781609,36026.65064350091,227994.71756063768,1405803.766364439,205.5329458279098,913224,183161
STANISLAUS,165.0,1321700.0,313.0,67.0,37.0,77600.0,148759.5,28709.971233999997,3778.935531999999,449518,73.04999999999998,2801700,929373,38603.17609541271,171676.78615012133,1042089.0928635325,55.0251883182874,618069,151941
SUTTER,56.0,468200.0,116.0,26.0,9.0,24350.0,48185.0,9361.786481000001,1279.309899,78297,26.28,1143400,358035,1320.14939229741,63754.89131966831,346485.8764096814,41.08538142515738,259001,28099
TEHAMA,97.0,731500.0,135.0,46.0,4.0,39060.0,81593.5,13554.785272000003,2004.99844,49688,30.33,968500,370585,987.1113697540022,73455.283388039,364311.48028806737,216.8061454883064,276058,21071
TRINITY,94.0,648000.0,126.0,47.0,10.0,32170.0,86047.5,11845.183748999998,1816.571317,12607,27.14,1243800,316345,146.6734589748172,64199.66068594606,308370.42895329243,574.9454097611911,264393,7577
TULARE,213.0,1232900.0,287.0,65.0,16.0,98800.0,171947.5,32484.632702999996,4132.0323,364583,106.52000000000001,2873700,983655,17734.928637427987,246492.25292449124,1168419.4931005926,83.5126822478187,713097,118305
TUOLUMNE,70.0,488200.0,117.0,31.0,12.0,26290.0,57599.5,10202.848644999998,1431.979042,51186,23.75,1302099,397347,1291.6752792162304,58666.486031045504,265616.62828472053,69.2969917770823,221312,26500
VENTURA,131.0,1170000.0,309.0,76.0,38.0,72420.0,118003.5,23649.728609000005,3207.8457590000003,758032,69.67000000000002,6076000,1412392,37215.13315812021,197174.2719131393,923304.7267580203,4.306698563954576,654388,253479
YOLO,86.0,729100.0,156.0,47.0,19.0,40840.0,75567.5,15685.007927000002,2039.4515390000001,168755,37.58,2247700,568373,5443.151338730241,92361.70714094772,460371.1727168621,53.30206657613904,356259,61576
YUBA,94.0,687500.0,138.0,20.0,6.0,38030.0,75954.5,12315.845246,1862.989227,59625,30.36,1319000,361731,3266.7491101345054,74782.7733043798,383192.635855923,36.485245201840556,298695,22383
