input_income,input_footprint_transportation_num_vehicles,input_footprint_transportation_mpg1,input_footprint_transportation_miles1,input_footprint_transportation_fuel1,input_footprint_transportation_airshort,input_footprint_transportation_airmedium,input_footprint_transportation_airlong,input_footprint_housing_cdd,input_footprint_housing_hdd,input_footprint_housing_electricity_dollars,input_footprint_housing_squarefeet,input_footprint_housing_watersewage,input_footprint_shopping_food_meatfisheggs_default,input_footprint_shopping_goods_clothing,input_footprint_shopping_goods_other_personalcare,input_footprint_shopping_services_education,input_footprint_shopping_services_total,result_grand_total
1.0,1.0,22.0,8700.0,1.0,2.0,0.0,0.0,1085.39,1455.31,470.0,1591.0,237.0,543.0,169.350149,47.227769,55.002939000000005,963.5242890000001,18.998752
1.0,1.0,22.0,8500.0,1.0,2.0,0.0,0.0,1085.39,1455.31,510.0,1591.0,237.0,543.0,161.23433300000002,45.486592,51.436731,935.3037800000001,18.960587
1.0,1.0,22.0,8000.0,1.0,2.0,0.0,0.0,1085.39,1455.31,490.0,1591.0,237.0,543.0,157.54371799999998,44.716724,49.867708,923.983913,18.488685999999998
1.0,1.0,22.0,7300.0,1.0,1.0,1.0,0.0,1085.39,1455.31,360.0,1591.0,237.0,543.0,133.502127,42.053263,45.315034000000004,1012.205374,18.001409
1.0,1.0,22.0,6000.0,1.0,4.0,0.0,0.0,1085.39,1455.31,310.0,1591.0,237.0,543.0,121.23691000000001,38.45235,37.588628,902.778103,16.311888
1.0,1.0,22.0,6200.0,1.0,3.0,0.0,0.0,1085.39,1455.31,340.0,1591.0,237.0,543.0,134.179255,40.270786,40.966513,881.7792390000001,16.424733
1.0,1.0,22.0,6200.0,1.0,3.0,0.0,0.0,1085.39,1455.31,360.0,1591.0,237.0,543.0,121.79823700000001,37.367196,34.929672,821.686687,16.115109
1.0,1.0,22.0,8000.0,1.0,6.0,0.0,0.0,1085.39,1455.31,460.0,1591.0,237.0,543.0,120.888622,40.690884000000004,43.010816,1060.903422,19.487322
1.0,1.0,22.0,7800.0,1.0,0.0,2.0,0.0,1085.39,1455.31,320.0,1591.0,237.0,543.0,114.56551699999999,40.05304,41.964556,1088.429586,18.685298
1.0,1.0,22.0,7500.0,1.0,2.0,0.0,0.0,1085.39,1455.31,460.0,1591.0,237.0,543.0,177.941546,48.591284,57.622253,960.355631,18.27497
1.0,1.0,22.0,5300.0,1.0,4.0,0.0,0.0,1085.39,1455.31,300.0,1591.0,237.0,543.0,104.877101,35.171608,30.951789,861.6737519999999,15.647032999999999
1.0,1.0,22.0,3300.0,1.0,3.0,0.0,0.0,1085.39,1455.31,210.0,1591.0,237.0,543.0,57.571466,24.069488,7.866953,631.521958,12.596625999999999
1.0,1.0,22.0,15100.0,1.0,4.0,0.0,1.0,1133.21,1441.11,690.0,1591.0,237.0,543.0,188.716373,61.161049,87.08108100000001,1704.4486399999998,28.725492
1.0,1.0,22.0,13700.0,1.0,8.0,0.0,0.0,1133.21,1441.11,550.0,1591.0,237.0,543.0,180.356578,55.800723,74.810721,1429.673272,25.372604
1.0,1.0,22.0,11600.0,1.0,1.0,1.0,0.0,1133.21,1441.11,510.0,1591.0,237.0,543.0,184.063105,52.695859999999996,67.03961600000001,1173.9189,22.206626999999997
1.0,1.0,22.0,11300.0,1.0,8.0,0.0,0.0,773.84,1414.3,470.0,1591.0,237.0,543.0,143.959605,47.786536,58.321029,1288.9495630000001,22.644364000000003
1.0,1.0,22.0,14900.0,1.0,9.0,1.0,0.0,1133.21,1441.11,640.0,1591.0,237.0,543.0,187.132281,61.504172,88.030028,1745.9623609999999,28.649048999999998
1.0,1.0,22.0,11000.0,1.0,5.0,0.0,0.0,773.84,1414.3,480.0,1591.0,237.0,543.0,177.175136,51.963543,65.80935600000001,1201.30823,21.967503
1.0,1.0,22.0,9700.0,1.0,0.0,2.0,0.0,773.84,1414.3,440.0,1591.0,237.0,543.0,138.630976,45.180394,52.453680000000006,1169.655573,20.8308
1.0,1.0,22.0,13200.0,1.0,2.0,3.0,0.0,773.84,1414.3,540.0,1591.0,237.0,543.0,175.518558,58.96086,82.80239300000001,1702.0173,26.936438
1.0,1.0,22.0,10100.0,1.0,2.0,2.0,0.0,1133.21,1441.11,390.0,1591.0,237.0,543.0,125.75581399999999,44.661846999999995,52.203509000000004,1279.427756,21.610851
1.0,1.0,22.0,12500.0,1.0,3.0,3.0,0.0,939.7180000000001,1422.08,470.0,1591.0,237.0,543.0,166.112132,58.006479000000006,81.232784,1742.5811019999999,26.510316999999997
1.0,1.0,22.0,11600.0,1.0,1.0,1.0,1.0,1133.21,1441.11,640.0,1591.0,237.0,543.0,170.629267,57.634384,79.984863,1665.886454,26.280416
1.0,1.0,22.0,14300.0,1.0,8.0,0.0,0.0,773.84,1414.3,570.0,1591.0,237.0,543.0,193.598592,58.507529000000005,80.30582,1466.471323,26.080842
1.0,1.0,22.0,18300.0,1.0,0.0,4.0,0.0,1219.53,1417.24,800.0,1591.0,237.0,543.0,224.232019,70.691225,107.291817,1959.535807,32.516038
1.0,1.0,22.0,18900.0,1.0,2.0,2.0,0.0,1077.47,2241.68,510.0,1591.0,237.0,543.0,153.533103,50.713304,64.631636,1382.369569,27.788542
1.0,1.0,22.0,18800.0,1.0,3.0,1.0,0.0,1270.37,1522.97,460.0,1591.0,237.0,543.0,127.611287,42.496140999999994,46.839797999999995,1109.290485,25.444000000000003
1.0,1.0,22.0,11300.0,1.0,5.0,0.0,0.0,1270.37,1522.97,460.0,1591.0,237.0,543.0,136.320253,43.015768,47.416053999999995,1046.664816,20.936248000000003
1.0,1.0,22.0,10900.0,1.0,3.0,1.0,0.0,1045.96,1435.79,460.0,1591.0,237.0,543.0,144.533307,46.214705,54.488236,1174.190305,21.599307
1.0,1.0,22.0,11600.0,1.0,5.0,0.0,0.0,1516.32,3320.08,450.0,1591.0,237.0,543.0,113.43048700000001,38.093661,37.330251000000004,966.291494,20.360831
1.0,1.0,22.0,23200.0,1.0,1.0,4.0,0.0,1204.71,1681.58,670.0,1591.0,237.0,543.0,223.310912,71.604135,109.56416000000002,2032.8378870000001,35.198318
1.0,1.0,22.0,12000.0,1.0,2.0,2.0,0.0,1124.38,1563.79,510.0,1591.0,237.0,543.0,146.996074,49.314966,61.769114,1359.92208,23.802648
1.0,1.0,22.0,10900.0,1.0,5.0,1.0,0.0,1124.38,1563.79,440.0,1591.0,237.0,543.0,135.217931,46.371722999999996,55.589893999999994,1290.283973,22.337681
1.0,1.0,22.0,12400.0,1.0,7.0,0.0,0.0,1124.38,1563.79,540.0,1591.0,237.0,543.0,151.521166,48.454432000000004,59.34376700000001,1249.505309,23.408309
1.0,1.0,22.0,7600.0,1.0,3.0,1.0,0.0,1381.07,3479.87,450.0,1591.0,237.0,543.0,114.89966100000001,39.921699,41.621982,1075.603418,18.857879
1.0,1.0,22.0,20700.0,1.0,1.0,1.0,0.0,1372.59,1718.6,520.0,1591.0,237.0,543.0,145.43408200000002,44.606971,50.543329,1053.271276,26.462199
1.0,1.0,22.0,13800.0,1.0,8.0,0.0,0.0,1124.38,1563.79,580.0,1591.0,237.0,543.0,168.165616,52.912868,68.796816,1368.5165849999998,25.193532
1.0,1.0,22.0,8300.0,1.0,4.0,1.0,0.0,856.61,4235.18,670.0,1591.0,237.0,543.0,131.169305,44.301285,50.914114,1193.414856,21.914792000000002
1.0,1.0,22.0,11800.0,1.0,5.0,0.0,0.0,856.61,4235.18,540.0,1591.0,237.0,543.0,171.819104,50.575885,62.880811,1166.2516970000001,23.084038
1.0,1.0,22.0,16400.0,1.0,2.0,2.0,0.0,856.61,4235.18,740.0,1591.0,237.0,543.0,205.645465,61.83706899999999,87.395442,1559.687776,29.454721999999997
1.0,1.0,22.0,16400.0,1.0,5.0,1.0,0.0,856.61,4235.18,670.0,1591.0,237.0,543.0,199.477056,60.122592000000004,83.742547,1511.298451,28.654139
1.0,1.0,22.0,14000.0,1.0,0.0,3.0,0.0,856.61,4235.18,510.0,1591.0,237.0,543.0,158.338416,53.140784,70.10922099999999,1495.2742230000001,25.553302
1.0,1.0,22.0,11300.0,1.0,2.0,2.0,0.0,856.61,4235.18,440.0,1591.0,237.0,543.0,145.61441399999998,49.039615999999995,61.21264300000001,1356.5634380000001,22.866948999999998
1.0,1.0,22.0,6700.0,1.0,6.0,0.0,0.0,856.61,4235.18,630.0,1591.0,237.0,543.0,121.66033700000001,40.807057,43.230869,1060.188721,19.974603
1.0,1.0,22.0,16600.0,1.0,9.0,0.0,0.0,856.61,4235.18,620.0,1591.0,237.0,543.0,155.516753,51.341889,65.992623,1403.245169,27.753478
1.0,1.0,22.0,15500.0,1.0,7.0,0.0,0.0,856.61,4235.18,640.0,1591.0,237.0,543.0,161.64007900000001,50.585429,63.69412,1281.9382560000001,26.409686999999998
1.0,1.0,22.0,13200.0,1.0,8.0,0.0,0.0,856.61,4235.18,610.0,1591.0,237.0,543.0,164.455554,52.185494,67.331921,1360.340496,25.67256
1.0,1.0,22.0,13700.0,1.0,5.0,0.0,0.0,856.61,4235.18,520.0,1591.0,237.0,543.0,131.911847,41.853809000000005,44.957732,1016.435906,22.627098999999998
1.0,1.0,22.0,10100.0,1.0,8.0,1.0,0.0,856.61,4235.18,710.0,1591.0,237.0,543.0,180.846303,59.110834,82.750366,1652.1578630000001,26.492457
1.0,1.0,22.0,15200.0,1.0,2.0,0.0,1.0,1460.32,1783.97,700.0,1591.0,237.0,543.0,190.887427,59.496563,82.899852,1565.22897,27.799601000000003
1.0,1.0,22.0,20300.0,1.0,2.0,3.0,0.0,1344.99,2454.56,850.0,1591.0,237.0,543.0,211.92967599999997,66.733952,98.71025999999999,1825.981725,33.177999
1.0,1.0,22.0,19100.0,1.0,0.0,0.0,2.0,1329.31,1569.16,800.0,1591.0,237.0,543.0,221.157538,71.752973,110.08956200000002,2067.3968440000003,33.86725
1.0,1.0,22.0,20000.0,1.0,8.0,1.0,1.0,1329.31,1569.16,890.0,1591.0,237.0,543.0,261.208883,84.453057,137.589236,2489.613205,37.614238
1.0,1.0,22.0,11800.0,1.0,8.0,0.0,0.0,628.919,1991.6,480.0,1591.0,237.0,543.0,146.145686,48.386092,59.596355,1305.539219,23.228428
1.0,1.0,22.0,12400.0,1.0,7.0,1.0,0.0,628.919,1991.6,540.0,1591.0,237.0,543.0,164.10196200000001,54.569515,73.105109,1528.555313,25.442322
1.0,1.0,22.0,15000.0,1.0,4.0,2.0,0.0,628.919,1991.6,630.0,1591.0,237.0,543.0,181.260005,58.712039000000004,81.757452,1620.0189380000002,27.85874
1.0,1.0,22.0,14800.0,1.0,5.0,2.0,0.0,957.1260000000001,2072.85,630.0,1591.0,237.0,543.0,185.23349299999998,60.511729,85.78553000000001,1699.0544579999998,28.397656
1.0,1.0,22.0,15900.0,1.0,0.0,4.0,0.0,957.1260000000001,2072.85,600.0,1591.0,237.0,543.0,188.94002,62.956762,91.39054499999999,1825.5746170000002,29.700447999999998
1.0,1.0,22.0,13400.0,1.0,2.0,0.0,1.0,891.503,2601.09,540.0,1591.0,237.0,543.0,168.414899,54.618596999999994,72.888646,1483.196682,25.801177
1.0,1.0,22.0,15900.0,1.0,4.0,1.0,0.0,1426.57,1980.78,620.0,1591.0,237.0,543.0,181.031939,55.04920500000001,72.94682900000001,1370.269411,26.563944
1.0,1.0,22.0,19300.0,1.0,0.0,4.0,0.0,1426.57,1980.78,820.0,1591.0,237.0,543.0,227.23047799999998,71.322934,108.581506,1969.159391,33.415909
1.0,1.0,22.0,9100.0,1.0,1.0,1.0,0.0,1072.74,5558.96,390.0,1591.0,237.0,543.0,94.03244000000001,33.185814,27.007761,847.4385380000001,17.949913000000002
1.0,1.0,22.0,17700.0,1.0,7.0,1.0,0.0,1072.74,5558.96,700.0,1591.0,237.0,543.0,166.448928,55.027446999999995,74.02665,1533.576313,29.293628000000002
1.0,1.0,22.0,17000.0,1.0,3.0,2.0,0.0,1608.5,2443.94,570.0,1591.0,237.0,543.0,163.534448,53.835322999999995,71.379637,1484.395389,27.444931
1.0,1.0,22.0,9600.0,1.0,6.0,0.0,0.0,1719.88,2966.22,570.0,1591.0,237.0,543.0,129.789412,42.405361,46.451939,1078.422642,21.094164000000003
1.0,1.0,22.0,13600.0,1.0,0.0,2.0,0.0,1719.88,2966.22,700.0,1591.0,237.0,543.0,160.138198,49.875665000000005,62.100035999999996,1250.0255029999998,25.079013
1.0,1.0,22.0,16100.0,1.0,3.0,2.0,0.0,1719.88,2966.22,740.0,1591.0,237.0,543.0,175.848283,56.470493999999995,76.774565,1526.7572519999999,28.571410999999998
1.0,1.0,22.0,14700.0,1.0,8.0,0.0,0.0,1788.72,2369.83,520.0,1591.0,237.0,543.0,159.497313,51.326721,65.647046,1357.219334,25.224235999999998
1.0,1.0,22.0,17800.0,1.0,4.0,1.0,0.0,1788.72,2369.83,740.0,1591.0,237.0,543.0,171.789049,52.971892000000004,68.657882,1331.639373,27.868384999999996
1.0,1.0,22.0,17600.0,1.0,1.0,0.0,1.0,1788.72,2369.83,550.0,1591.0,237.0,543.0,143.613969,48.306958,59.602217,1328.7104570000001,26.597596000000003
1.0,1.0,22.0,11100.0,1.0,2.0,1.0,0.0,1788.72,2369.83,480.0,1591.0,237.0,543.0,117.13170900000001,39.456381,40.327238,1018.33009,20.624308
1.0,1.0,22.0,8400.0,1.0,9.0,0.0,0.0,1788.72,2369.83,460.0,1591.0,237.0,543.0,150.199616,50.114885,63.4482,1378.807373,21.496176000000002
1.0,1.0,22.0,18100.0,1.0,2.0,3.0,0.0,1788.72,2369.83,880.0,1591.0,237.0,543.0,204.56170600000002,65.100711,95.346078,1796.7604079999999,31.923416999999997
1.0,1.0,22.0,3800.0,1.0,0.0,2.0,0.0,507.31199999999995,2673.33,250.0,1591.0,237.0,543.0,107.131249,38.643112,39.143436,1075.313919,16.186007999999998
1.0,1.0,22.0,4500.0,1.0,6.0,1.0,0.0,507.31199999999995,2673.33,280.0,1591.0,237.0,543.0,122.20928799999999,44.432569,51.926153,1303.707233,18.350182
1.0,1.0,22.0,6900.0,1.0,3.0,2.0,0.0,507.31199999999995,2673.33,400.0,1591.0,237.0,543.0,171.739546,55.656202,75.130945,1517.099742,21.913731
1.0,1.0,22.0,5200.0,1.0,2.0,3.0,0.0,507.31199999999995,2673.33,270.0,1591.0,237.0,543.0,137.503018,50.590144,65.579484,1555.039958,20.297514000000003
