Organization Name,Emission Year,Facility Name,Source Name,Activity Type,Fuel Type,Fuel,End Use Sector,Technology,CO2e
California Department of General Services,2013,000 Fleet Vehicles,,SEM: Mobile Combustion - Scope 1,N\A,N\A,N\A,N\A,563.0255939
California Department of General Services,2010,Lease#2243001,,SEM: Purchased Electricity - Scope 2,N\A,N\A,N\A,N\A,848.7930311
California Department of General Services,2010,Lease#5098002,,SEM: Purchased Electricity - Scope 2,N\A,N\A,N\A,N\A,12.7683034
California Department of General Services,2010,Lease#5107001,,SEM: Purchased Electricity - Scope 2,N\A,N\A,N\A,N\A,4.6839291
California Department of General Services,2010,Lease#5368001,,SEM: Purchased Electricity - Scope 2,N\A,N\A,N\A,N\A,0.2658976
California Department of General Services,2010,Lease#5570001,,SEM: Purchased Electricity - Scope 2,N\A,N\A,N\A,N\A,6.1361501
California Department of General Services,2010,Lease#5570002,,SEM: Purchased Electricity - Scope 2,N\A,N\A,N\A,N\A,4.0907663
California State Coastal Conservancy,2011,Main Office,,Fugitive - Scope 1,N\A,N\A,N\A,N\A,0.00016
California African American Museum,2010,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,221.9857
California African American Museum,2010,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,26.13149
California African American Museum,2010,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",0.82722
California African American Museum,2010,Vehicle Fleet,Honda,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2005),3.09857
California African American Museum,2011,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,227.3482
California African American Museum,2011,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,21.01363
California African American Museum,2011,Vehicle Fleet,Honda,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2005),2.81607
California African American Museum,2011,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",1.10853
California African American Museum,2012,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,241.42024
California African American Museum,2012,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,26.07833
California African American Museum,2012,Vehicle Fleet,Honda,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2005),2.57415
California African American Museum,2012,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",1.03811
California African American Museum,2013,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,222.16564
California African American Museum,2013,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,28.70955
California African American Museum,2013,Vehicle Fleet,Honda,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2005),2.48258
California African American Museum,2013,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",0.84886
California African American Museum,2014,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,245.3239379
California African American Museum,2014,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,21.7146072
California African American Museum,2014,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",1.138108209
California Coastal Commission,2010,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.96126
California Coastal Commission,2010,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,18.56719
California Coastal Commission,2010,Fleet - Ford Taurus 2000 - Long Beach,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),1.54519
California Coastal Commission,2010,Fleet - Ford Taurus 2001 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),2.80468
California Coastal Commission,2010,Fleet - GMC Safari 2000 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),0.60802
California Coastal Commission,2010,Fleet - Honda Accord 2002 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),4.46911
California Coastal Commission,2010,Fleet - Jeep Cherokee 2000 - Eureka/Arcata,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),1.87119
California Coastal Commission,2010,Fleet - Jeep Cherokee 2001 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),2.37288
California Coastal Commission,2010,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,145.46601
California Coastal Commission,2010,Headquarters Storage Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,8.42101
